CAM	Y	M 	D 	H	Obs	Pred0	Pred24	Pred48
  5 2020  2  1  0     5.72     0.45     0.44     0.52
  6 2020  2  1  0     5.72     4.71     4.71     4.91
  7 2020  2  1  0     5.72     0.55     0.57     0.51
  8 2020  2  1  0     5.72     0.91     0.90     0.82
  9 2020  2  1  0     5.72     0.77     0.77     0.59
  1 2020  2  2  0     7.26     1.87     1.87     1.96
  2 2020  2  2  0     7.26     4.76     4.99     5.74
  3 2020  2  2  0     7.26     2.18     2.18     2.00
  4 2020  2  2  0     7.26     0.77     0.78     0.75
  5 2020  2  2  0     7.26     0.27     0.31     0.32
  6 2020  2  2  0     7.26     2.73     2.73     3.55
  7 2020  2  2  0     7.26     0.87     0.75     0.72
  8 2020  2  2  0     7.26     0.94     0.95     0.90
  9 2020  2  2  0     7.26     0.54     0.54     0.54
  1 2020  2  3  0     6.38    10.60    10.60     9.39
  2 2020  2  3  0     6.38     9.32    10.69    10.29
  3 2020  2  3  0     6.38    10.49    10.50    12.91
  4 2020  2  3  0     6.38     8.18     8.18    10.30
  5 2020  2  3  0     6.38     1.43     1.64     3.40
  6 2020  2  3  0     6.38    54.37    54.37     8.47
  7 2020  2  3  0     6.38     5.10     6.57     5.79
  8 2020  2  3  0     6.38     3.78     3.78     3.93
  9 2020  2  3  0     6.38     2.93     2.85     4.49
  1 2020  2  4  0     7.48     4.82     4.82     3.40
  2 2020  2  4  0     7.48     4.53     4.11     5.51
  3 2020  2  4  0     7.48     4.16     4.16     3.98
  4 2020  2  4  0     7.48     1.87     1.88     2.09
  5 2020  2  4  0     7.48     1.78     1.78     0.92
  6 2020  2  4  0     7.48    15.00    15.00    25.58
  7 2020  2  4  0     7.48     4.82     5.82     5.79
  8 2020  2  4  0     7.48     2.18     2.18     2.37
  9 2020  2  4  0     7.48     0.97     1.07     1.36
  1 2020  2  5  0     5.17     2.02     2.03     2.08
  2 2020  2  5  0     5.17     2.97     3.95     4.49
  3 2020  2  5  0     5.17     4.26     4.26     2.19
  4 2020  2  5  0     5.17     2.43     2.44     1.08
  5 2020  2  5  0     5.17     1.04     0.64     1.65
  6 2020  2  5  0     5.17    15.49    15.49    19.67
  7 2020  2  5  0     5.17     2.22     2.60     0.91
  8 2020  2  5  0     5.17     2.41     2.41     3.29
  9 2020  2  5  0     5.17     0.63     0.66     0.92
  1 2020  2  6  0     9.79     8.19     8.17     5.08
