CAM	Y	M	D	H	Obs	Pred0	Pred24	Pred48
9	2020	6	1	0	1.4	6.89	6.75	7.24
1	2020	6	2	0	8.6	1.67	1.66	1.68
2	2020	6	2	0	8.6	6.21	5.46	4.95
3	2020	6	2	0	8.6	2.51	2.5	2.91
4	2020	6	2	0	8.6	2.28	4.33	2.57
5	2020	6	2	0	8.6	5.81	5.81	4.62
6	2020	6	2	0	8.6	1.5	1.5	2.03
7	2020	6	2	0	8.6	4.62	4.31	4.28
8	2020	6	2	0	8.6	5.77	5.75	5.46
9	2020	6	2	0	8.6	3.77	3.76	5.11
1	2020	6	3	0	6.5	2.36	2.37	2.27
2	2020	6	3	0	6.5	3.4	3.95	4.4
3	2020	6	3	0	6.5	6.36	6.37	4.36
4	2020	6	3	0	6.5	3.24	3.45	3.42
5	2020	6	3	0	6.5	1.2	1.2	4.0
6	2020	6	3	0	6.5	1.9	1.9	1.82
7	2020	6	3	0	6.5	2.96	3.44	2.42
8	2020	6	3	0	6.5	4.38	4.36	3.83
9	2020	6	3	0	6.5	4.25	4.58	4.51
1	2020	6	4	0	11.5	3.64	3.63	2.48
2	2020	6	4	0	11.5	3.54	3.12	2.61
3	2020	6	4	0	11.5	2.85	2.84	1.53
4	2020	6	4	0	11.5	1.13	1.19	0.64
5	2020	6	4	0	11.5	2.2	2.2	0.74
6	2020	6	4	0	11.5	2.4	2.4	2.45
7	2020	6	4	0	11.5	0.82	1.34	0.16
8	2020	6	4	0	11.5	3.36	3.35	1.61
9	2020	6	4	0	11.5	2.1	1.97	1.12
1	2020	6	5	0	5.0	1.9	1.9	1.43
2	2020	6	5	0	5.0	3.08	3.37	2.86
3	2020	6	5	0	5.0	1.5	1.5	1.81
4	2020	6	5	0	5.0	1.81	2.17	3.66
5	2020	6	5	0	5.0	2.18	2.18	2.64
6	2020	6	5	0	5.0	2.93	2.93	1.9
7	2020	6	5	0	5.0	1.62	1.74	2.36
8	2020	6	5	0	5.0	3.16	3.16	5.52
9	2020	6	5	0	5.0	1.56	1.57	3.16
1	2020	6	6	0	1.7	1.37	1.36	2.2
2	2020	6	6	0	1.7	2.8	2.37	4.63
3	2020	6	6	0	1.7	0.69	0.69	0.89
4	2020	6	6	0	1.7	0.74	0.71	1.05
5	2020	6	6	0	1.7	0.36	0.36	0.11
