CAM	Y	M 	D 	H	Obs	Pred0	Pred24	Pred48
  2 2020  2 13  0    12.90     4.81     6.33     7.15
  3 2020  2 13  0    12.90    11.74    11.86    13.22
  4 2020  2 13  0    12.90    12.07    12.04    15.58
  5 2020  2 13  0    12.90     7.48     7.11     7.52
  6 2020  2 13  0    12.90     4.05     4.05     4.03
  7 2020  2 13  0    12.90     1.37     2.41     3.48
  8 2020  2 13  0    12.90     2.16     2.18     2.37
  9 2020  2 13  0    12.90     0.66     0.68     1.14
  1 2020  2 14  0     6.02     0.61     0.61     0.25
  2 2020  2 14  0     6.02     8.18     4.68     6.08
  3 2020  2 14  0     6.02     4.85     4.87     7.50
  4 2020  2 14  0     6.02     4.87     4.83     5.45
  5 2020  2 14  0     6.02     6.19     5.24     2.14
  6 2020  2 14  0     6.02     4.03     4.03     2.92
  7 2020  2 14  0     6.02     2.91     2.87     3.33
  8 2020  2 14  0     6.02     1.02     0.79     0.92
  9 2020  2 14  0     6.02     1.74     1.75     0.57
  1 2020  2 15  0     5.41     5.81     5.82     7.26
  2 2020  2 15  0     5.41     9.94    10.39    16.29
  3 2020  2 15  0     5.41    20.23    20.24    23.92
  4 2020  2 15  0     5.41    25.64    24.65    25.29
  5 2020  2 15  0     5.41     1.93     7.38     3.57
  6 2020  2 15  0     5.41    16.74    16.74    23.16
  7 2020  2 15  0     5.41     9.36    12.24    12.47
  8 2020  2 15  0     5.41    15.79    16.41    14.13
  9 2020  2 15  0     5.41    13.38    13.64    11.90
  1 2020  2 16  0     2.70     4.69     4.70     3.58
  2 2020  2 16  0     2.70    21.84    22.00    21.61
  3 2020  2 16  0     2.70    16.28    16.33    16.17
  4 2020  2 16  0     2.70     5.36     5.36     5.36
  5 2020  2 16  0     2.70     2.95     2.95    10.83
  6 2020  2 16  0     2.70     8.59     8.59     2.86
  7 2020  2 16  0     2.70     1.23     2.90     4.20
  8 2020  2 16  0     2.70     1.64     1.28     2.62
  9 2020  2 16  0     2.70     7.68     7.63     5.54
  1 2020  2 17  0     1.95    13.85    13.94     2.77
  2 2020  2 17  0     1.95    37.08    24.05    21.16
  3 2020  2 17  0     1.95    24.38    24.55    11.06
  4 2020  2 17  0     1.95    25.55    25.45     6.15
  5 2020  2 17  0     1.95    37.15    37.15     2.15
  6 2020  2 17  0     1.95     3.47     3.47     3.29
  7 2020  2 17  0     1.95     1.48     7.06     0.82
  8 2020  2 17  0     1.95     2.24     7.99     2.00
  9 2020  2 17  0     1.95     4.19     3.89     2.67
  1 2020  2 18  0     8.59     2.17     2.18     1.22
  2 2020  2 18  0     8.59    15.15    11.89     7.50
  3 2020  2 18  0     8.59    28.78    28.87    14.68
  4 2020  2 18  0     8.59    19.38    19.48     8.77
  5 2020  2 18  0     8.59     4.08     4.08     9.47
  6 2020  2 18  0     8.59     3.62     3.62     4.88
  7 2020  2 18  0     8.59     1.42     1.53     1.55
  8 2020  2 18  0     8.59     3.28     4.20     2.13
  9 2020  2 18  0     8.59     5.07     4.88     3.31
  1 2020  2 19  0    13.20     1.49     1.49     0.48
  2 2020  2 19  0    13.20     3.11     3.29    13.23
  3 2020  2 19  0    13.20    11.23    11.23     8.75
  4 2020  2 19  0    13.20    18.66    19.03    16.90
  5 2020  2 19  0    13.20    14.52    14.52    11.66
  6 2020  2 19  0    13.20    10.14    10.14     5.53
  7 2020  2 19  0    13.20     5.06     5.14     5.32
  8 2020  2 19  0    13.20     5.80     7.38     6.50
  9 2020  2 19  0    13.20     3.61     3.66     1.63
  1 2020  2 20  0     2.46     1.24     1.25     1.96
  2 2020  2 20  0     2.46    10.21     8.84     8.71
  3 2020  2 20  0     2.46     5.27     5.30     3.11
  4 2020  2 20  0     2.46     6.22     6.24     6.35
  5 2020  2 20  0     2.46     1.56     1.56     1.89
  6 2020  2 20  0     2.46     2.90     2.90     5.70
  7 2020  2 20  0     2.46     0.82     0.86     1.56
  8 2020  2 20  0     2.46     0.78     1.33     1.82
  9 2020  2 20  0     2.46     1.17     0.98     1.86
  1 2020  2 21  0     0.85     1.16     1.17     1.23
  2 2020  2 21  0     0.85    19.12    19.29    17.42
  3 2020  2 21  0     0.85    11.65    11.73     9.78
  4 2020  2 21  0     0.85     8.96     8.97     7.17
  5 2020  2 21  0     0.85    13.88    13.88     8.56
  6 2020  2 21  0     0.85     2.43     2.43     2.54
  7 2020  2 21  0     0.85     0.66     0.78     1.12
  8 2020  2 21  0     0.85     1.91     2.20     2.14
  9 2020  2 21  0     0.85     4.95     5.00     5.43
  1 2020  2 22  0    11.31     1.85     1.85     1.29
  2 2020  2 22  0    11.31    20.95     9.39    16.70
  3 2020  2 22  0    11.31    11.23    11.18    18.22
  4 2020  2 22  0    11.31     9.17     9.17    11.66
  5 2020  2 22  0    11.31     2.42     2.42     3.58
  6 2020  2 22  0    11.31     2.04     2.04    18.37
  7 2020  2 22  0    11.31     0.75     1.32     1.71
  8 2020  2 22  0    11.31     1.03     2.64     2.53
  9 2020  2 22  0    11.31     4.58     4.50     4.85
  1 2020  2 23  0    16.95     2.76     2.79     0.85
  2 2020  2 23  0    16.95     2.15     6.29     6.71
  3 2020  2 23  0    16.95    20.83    21.07    11.13
  4 2020  2 23  0    16.95    26.02    27.25    12.33
  5 2020  2 23  0    16.95     4.95     4.95     5.47
  6 2020  2 23  0    16.95     2.97     2.97     5.74
  7 2020  2 23  0    16.95     2.62     4.66     3.83
  8 2020  2 23  0    16.95     4.61    20.51     6.88
  9 2020  2 23  0    16.95     3.94     4.53     1.19
  1 2020  2 24  0     2.73     2.16     2.16     2.29
  2 2020  2 24  0     2.73     4.05     4.63     2.83
  3 2020  2 24  0     2.73     7.84     7.84     7.04
  4 2020  2 24  0     2.73     5.25     5.25     6.43
  5 2020  2 24  0     2.73     7.86     7.86     7.87
  6 2020  2 24  0     2.73    16.19    16.19    11.92
  7 2020  2 24  0     2.73     4.28     4.48     3.74
  8 2020  2 24  0     2.73     5.77     6.62     6.22
  9 2020  2 24  0     2.73     4.27     4.52     3.44
  1 2020  2 25  0     0.08     3.25     3.24     2.14
  2 2020  2 25  0     0.08     3.84     3.55     2.89
  3 2020  2 25  0     0.08     7.88     7.85     8.10
  4 2020  2 25  0     0.08    21.21    21.26    19.60
  5 2020  2 25  0     0.08    16.19    16.19    17.58
  6 2020  2 25  0     0.08     6.07     6.07     6.23
  7 2020  2 25  0     0.08     2.47     2.53     2.79
  8 2020  2 25  0     0.08     4.37     5.22     5.25
  9 2020  2 25  0     0.08     3.49     3.47     2.21
  1 2020  2 26  0     4.03     1.19     1.19     1.40
  2 2020  2 26  0     4.03    10.59    12.45     3.34
  3 2020  2 26  0     4.03     9.93     9.91    10.27
  4 2020  2 26  0     4.03     7.68     7.68    11.06
  5 2020  2 26  0     4.03     7.25     7.25     3.23
  6 2020  2 26  0     4.03     5.30     5.30     6.69
  7 2020  2 26  0     4.03     0.60     1.06     0.93
  8 2020  2 26  0     4.03     1.72     1.96     2.43
  9 2020  2 26  0     4.03     1.41     1.43     2.33
