CAM	Y	M	D	H	Obs	Pred0	Pred24	Pred48
1	2020	2	6	0	1.459	6.83	6.82	6.43
2	2020	2	6	0	1.459	50.57	43.11	47.12
3	2020	2	6	0	1.459	58.68	58.6	50.95
4	2020	2	6	0	1.459	33.68	32.75	25.73
5	2020	2	6	0	1.459	8.39	8.51	7.92
6	2020	2	6	0	1.459	26.32	26.32	11.63
7	2020	2	6	0	1.459	29.33	25.41	32.21
8	2020	2	6	0	1.459	14.79	11.67	9.9
9	2020	2	6	0	1.459	4.66	5.07	5.37
1	2020	2	7	0	37.3167	5.68	5.72	3.95
2	2020	2	7	0	37.3167	9.07	7.42	5.64
3	2020	2	7	0	37.3167	19.13	19.24	17.93
4	2020	2	7	0	37.3167	22.96	23.4	21.4
5	2020	2	7	0	37.3167	6.89	6.82	7.26
6	2020	2	7	0	37.3167	21.59	21.59	27.01
7	2020	2	7	0	37.3167	12.6	15.09	17.41
8	2020	2	7	0	37.3167	11.17	10.07	9.13
9	2020	2	7	0	37.3167	1.58	2.26	2.27
1	2020	2	8	0	20.9202	7.16	7.16	2.92
2	2020	2	8	0	20.9202	14.09	14.78	17.15
3	2020	2	8	0	20.9202	25.99	25.96	19.32
4	2020	2	8	0	20.9202	18.17	18.18	13.72
5	2020	2	8	0	20.9202	8.06	7.4	8.97
6	2020	2	8	0	20.9202	12.47	12.47	14.88
7	2020	2	8	0	20.9202	11.93	12.71	10.66
8	2020	2	8	0	20.9202	11.17	11.46	5.25
9	2020	2	8	0	20.9202	3.49	3.69	2.51
1	2020	2	9	0	6.47117	2.46	2.45	5.2
2	2020	2	9	0	6.47117	4.79	7.89	11.19
3	2020	2	9	0	6.47117	15.94	15.89	24.72
4	2020	2	9	0	6.47117	7.19	7.24	15.98
5	2020	2	9	0	6.47117	16.71	15.59	20.74
6	2020	2	9	0	6.47117	8.92	8.92	19.54
7	2020	2	9	0	6.47117	4.52	8.32	16.75
8	2020	2	9	0	6.47117	7.28	4.82	7.87
9	2020	2	9	0	6.47117	0.65	0.7	3.71
1	2020	2	10	0	1.23467	1.63	1.63	1.85
2	2020	2	10	0	1.23467	12.67	8.31	16.15
3	2020	2	10	0	1.23467	24.17	24.24	28.44
4	2020	2	10	0	1.23467	10.86	10.84	12.42
5	2020	2	10	0	1.23467	6.43	13.64	10.92
6	2020	2	10	0	1.23467	2.38	2.38	2.02
7	2020	2	10	0	1.23467	2.59	2.21	2.18
8	2020	2	10	0	1.23467	1.56	4.24	2.58
9	2020	2	10	0	1.23467	0.81	0.87	0.86
1	2020	2	11	0	17.4767	1.4	1.4	1.46
2	2020	2	11	0	17.4767	25.19	14.09	11.3
3	2020	2	11	0	17.4767	12.71	12.69	14.72
4	2020	2	11	0	17.4767	8.54	8.54	8.39
5	2020	2	11	0	17.4767	5.32	7.93	5.16
6	2020	2	11	0	17.4767	4.05	4.05	1.97
7	2020	2	11	0	17.4767	2.33	2.32	7.01
8	2020	2	11	0	17.4767	1.2	2.09	1.68
9	2020	2	11	0	17.4767	0.68	0.65	0.6
1	2020	2	12	0	28.335	2.98	2.98	4.06
2	2020	2	12	0	28.335	9.01	12.56	10.83
3	2020	2	12	0	28.335	14.31	14.33	16.0
4	2020	2	12	0	28.335	16.91	16.92	21.16
5	2020	2	12	0	28.335	9.05	8.7	14.99
6	2020	2	12	0	28.335	3.52	3.52	7.32
7	2020	2	12	0	28.335	2.91	2.96	3.1
8	2020	2	12	0	28.335	2.81	5.5	3.83
9	2020	2	12	0	28.335	1.42	1.39	1.53
1	2020	2	13	0	7.45934	1.98	1.99	2.69
2	2020	2	13	0	7.45934	4.64	6.2	6.9
3	2020	2	13	0	7.45934	12.42	12.55	13.72
4	2020	2	13	0	7.45934	11.17	11.14	13.92
5	2020	2	13	0	7.45934	4.98	4.86	5.61
6	2020	2	13	0	7.45934	3.4	3.4	3.27
7	2020	2	13	0	7.45934	1.32	2.27	2.98
8	2020	2	13	0	7.45934	2.48	1.41	1.44
9	2020	2	13	0	7.45934	0.71	0.71	0.99
1	2020	2	14	0	9.9725	0.68	0.68	0.33
2	2020	2	14	0	9.9725	7.9	4.36	5.75
3	2020	2	14	0	9.9725	4.55	4.57	7.2
4	2020	2	14	0	9.9725	5.28	5.25	6.03
5	2020	2	14	0	9.9725	6.79	5.83	1.65
6	2020	2	14	0	9.9725	3.16	3.16	2.26
7	2020	2	14	0	9.9725	2.11	1.99	2.53
8	2020	2	14	0	9.9725	0.89	0.65	0.85
9	2020	2	14	0	9.9725	1.39	1.39	0.55
1	2020	2	15	0	13.0063	5.74	5.74	6.77
2	2020	2	15	0	13.0063	9.96	10.31	16.13
3	2020	2	15	0	13.0063	20.33	20.33	24.0
4	2020	2	15	0	13.0063	27.02	26.07	26.43
5	2020	2	15	0	13.0063	2.53	9.69	4.41
6	2020	2	15	0	13.0063	13.75	13.75	21.82
7	2020	2	15	0	13.0063	9.36	12.24	12.47
8	2020	2	15	0	13.0063	16.18	16.3	13.52
9	2020	2	15	0	13.0063	13.12	13.65	11.32
1	2020	2	16	0	16.9887	4.2	4.21	3.14
2	2020	2	16	0	16.9887	21.91	21.78	21.35
3	2020	2	16	0	16.9887	16.38	16.43	14.36
4	2020	2	16	0	16.9887	5.5	5.51	5.31
5	2020	2	16	0	16.9887	2.67	2.67	9.1
6	2020	2	16	0	16.9887	7.57	7.57	2.14
7	2020	2	16	0	16.9887	1.11	2.64	3.32
8	2020	2	16	0	16.9887	1.42	1.01	1.82
9	2020	2	16	0	16.9887	7.61	7.56	5.37
1	2020	2	17	0	8.43401	16.49	16.62	4.03
2	2020	2	17	0	8.43401	36.54	23.2	21.14
3	2020	2	17	0	8.43401	24.16	24.36	11.48
4	2020	2	17	0	8.43401	27.09	27.0	7.46
5	2020	2	17	0	8.43401	39.14	39.14	2.84
6	2020	2	17	0	8.43401	2.92	2.92	2.85
7	2020	2	17	0	8.43401	1.38	7.97	0.89
8	2020	2	17	0	8.43401	3.72	8.07	2.93
9	2020	2	17	0	8.43401	4.25	4.24	2.48
1	2020	2	18	0	29.2283	2.45	2.46	1.45
2	2020	2	18	0	29.2283	14.94	11.65	7.26
3	2020	2	18	0	29.2283	29.91	30.0	14.8
4	2020	2	18	0	29.2283	17.22	17.32	8.38
5	2020	2	18	0	29.2283	3.03	3.03	5.88
6	2020	2	18	0	29.2283	3.19	3.19	4.47
7	2020	2	18	0	29.2283	1.32	1.43	1.49
8	2020	2	18	0	29.2283	3.84	3.32	1.58
9	2020	2	18	0	29.2283	4.97	4.8	3.38
1	2020	2	19	0	18.7033	1.64	1.64	0.53
2	2020	2	19	0	18.7033	3.09	3.3	12.87
3	2020	2	19	0	18.7033	11.62	11.62	8.72
4	2020	2	19	0	18.7033	21.25	21.55	18.82
5	2020	2	19	0	18.7033	20.93	20.93	15.35
6	2020	2	19	0	18.7033	9.79	9.79	5.84
7	2020	2	19	0	18.7033	5.44	5.36	5.56
8	2020	2	19	0	18.7033	6.71	6.8	5.47
9	2020	2	19	0	18.7033	3.57	3.69	1.57
1	2020	2	20	0	0.0	1.64	1.65	2.16
2	2020	2	20	0	0.0	9.67	8.56	7.74
3	2020	2	20	0	0.0	5.42	5.45	2.94
4	2020	2	20	0	0.0	8.23	8.25	6.45
5	2020	2	20	0	0.0	1.26	1.26	1.55
6	2020	2	20	0	0.0	2.44	2.44	5.24
7	2020	2	20	0	0.0	0.76	0.81	1.54
8	2020	2	20	0	0.0	0.75	1.7	1.41
9	2020	2	20	0	0.0	1.11	0.96	2.12
1	2020	2	21	0	0.0	1.47	1.49	1.43
2	2020	2	21	0	0.0	18.94	19.16	17.26
3	2020	2	21	0	0.0	11.96	12.04	10.01
4	2020	2	21	0	0.0	8.13	8.14	6.79
5	2020	2	21	0	0.0	6.61	6.61	4.23
6	2020	2	21	0	0.0	2.03	2.03	2.07
7	2020	2	21	0	0.0	0.57	0.76	1.04
8	2020	2	21	0	0.0	2.17	1.57	1.63
9	2020	2	21	0	0.0	4.93	5.02	5.27
1	2020	2	22	0	10.458	2.43	2.42	1.54
2	2020	2	22	0	10.458	20.59	9.28	15.99
3	2020	2	22	0	10.458	11.51	11.46	18.57
4	2020	2	22	0	10.458	10.72	10.72	11.33
5	2020	2	22	0	10.458	1.76	1.76	2.78
6	2020	2	22	0	10.458	1.72	1.72	18.18
7	2020	2	22	0	10.458	0.68	1.32	1.49
8	2020	2	22	0	10.458	1.1	3.74	2.17
9	2020	2	22	0	10.458	4.51	4.42	4.76
1	2020	2	23	0	24.9617	3.39	3.43	1.05
2	2020	2	23	0	24.9617	2.12	8.19	7.9
3	2020	2	23	0	24.9617	22.27	22.54	13.68
4	2020	2	23	0	24.9617	30.35	31.52	20.83
5	2020	2	23	0	24.9617	7.08	7.08	6.88
6	2020	2	23	0	24.9617	2.88	2.88	5.44
7	2020	2	23	0	24.9617	2.93	6.08	4.14
8	2020	2	23	0	24.9617	10.66	22.97	8.78
9	2020	2	23	0	24.9617	3.97	4.19	1.73
1	2020	2	24	0	10000.0	2.19	2.18	2.52
2	2020	2	24	0	10000.0	3.95	4.49	2.84
3	2020	2	24	0	10000.0	7.92	7.91	7.01
4	2020	2	24	0	10000.0	6.98	6.97	7.79
5	2020	2	24	0	10000.0	11.22	11.22	11.29
6	2020	2	24	0	10000.0	15.3	15.3	11.34
7	2020	2	24	0	10000.0	4.4	4.62	3.77
8	2020	2	24	0	10000.0	5.9	6.84	6.58
9	2020	2	24	0	10000.0	4.2	4.5	3.42
1	2020	2	25	0	5.79617	3.94	3.92	2.57
2	2020	2	25	0	5.79617	3.69	3.24	2.77
3	2020	2	25	0	5.79617	8.73	8.7	8.85
4	2020	2	25	0	5.79617	23.18	23.23	18.66
5	2020	2	25	0	5.79617	25.78	25.78	21.93
6	2020	2	25	0	5.79617	6.15	6.15	5.04
7	2020	2	25	0	5.79617	3.45	3.33	3.8
8	2020	2	25	0	5.79617	5.5	4.28	4.79
9	2020	2	25	0	5.79617	3.24	3.29	1.91
1	2020	2	26	0	9.1806	1.43	1.43	1.73
2	2020	2	26	0	9.1806	10.63	12.22	2.7
3	2020	2	26	0	9.1806	10.12	10.1	10.54
4	2020	2	26	0	9.1806	7.56	7.56	10.13
5	2020	2	26	0	9.1806	4.73	4.73	2.73
6	2020	2	26	0	9.1806	4.86	4.86	6.21
7	2020	2	26	0	9.1806	0.56	1.02	0.84
8	2020	2	26	0	9.1806	1.95	1.38	1.61
9	2020	2	26	0	9.1806	1.41	1.42	2.29
1	2020	2	27	0	5.70467	1.43	1.44	1.41
2	2020	2	27	0	5.70467	5.87	7.38	6.39
3	2020	2	27	0	5.70467	16.11	16.2	19.39
